step,mean_qed,mean_reward,mean_diversity,loss,mean_kl,validity
283,0.7272,0.7272,0.8699,-0.1204,1.7857,1.0000
284,0.7334,0.7334,0.8483,-0.2954,0.8238,1.0000
285,0.6839,0.6839,0.8779,-0.5870,1.2944,1.0000
286,0.6843,0.6843,0.8736,-0.4671,1.8277,1.0000
287,0.7146,0.7146,0.8727,-1.0821,0.0950,1.0000
288,0.7177,0.7177,0.8766,-0.5652,0.0000,1.0000
289,0.7123,0.7123,0.8815,-1.1371,0.8059,1.0000
290,0.7414,0.7414,0.8676,0.2091,0.1904,1.0000
291,0.7241,0.7241,0.8700,-0.6978,0.9236,1.0000
292,0.7415,0.7415,0.8626,0.0591,0.6634,1.0000
293,0.7412,0.7412,0.8789,-0.2888,0.9287,1.0000
294,0.7632,0.7632,0.8598,-0.3385,0.0000,1.0000
295,0.7025,0.7025,0.8708,0.1019,0.0000,1.0000
296,0.6870,0.6870,0.8709,-0.1280,2.1220,1.0000
297,0.7040,0.7040,0.8689,-0.0607,1.0739,1.0000
298,0.7669,0.7669,0.8714,-0.1797,0.8730,1.0000
299,0.7663,0.7663,0.8692,-0.2064,0.3406,1.0000
300,0.7326,0.7326,0.8777,0.0773,0.4012,1.0000
301,0.7093,0.7093,0.8736,0.0254,1.0412,1.0000
302,0.7125,0.7125,0.8783,-0.8998,0.0000,1.0000
303,0.6801,0.6801,0.8716,-1.1765,0.1804,1.0000
304,0.6985,0.6985,0.8738,-0.7209,0.0000,1.0000
305,0.7061,0.7061,0.8736,-0.5064,1.0190,1.0000
306,0.7130,0.7130,0.8815,0.1970,1.6554,1.0000
307,0.7141,0.7141,0.8708,-0.4399,0.1845,1.0000
308,0.7400,0.7400,0.8773,-0.8178,0.5189,1.0000
309,0.6486,0.6486,0.8720,-1.2296,0.0000,1.0000
310,0.7121,0.7121,0.8771,-0.9295,0.5206,1.0000
311,0.7185,0.7185,0.8713,-0.5945,0.0000,1.0000
312,0.7427,0.7427,0.8674,-1.0910,0.3215,1.0000
313,0.7047,0.7047,0.8755,-0.7349,0.0000,1.0000
314,0.7364,0.7364,0.8468,-0.7467,0.0803,1.0000
315,0.7265,0.7265,0.8777,-0.3918,0.0000,1.0000
316,0.6689,0.6689,0.8849,-0.2828,0.5544,1.0000
317,0.7290,0.7290,0.8764,-1.7127,0.1610,1.0000
318,0.7482,0.7482,0.8733,0.1638,0.3274,1.0000
319,0.7601,0.7601,0.8634,-0.1406,0.3946,1.0000
320,0.7560,0.7560,0.8721,-0.8036,0.0000,1.0000
321,0.7118,0.7118,0.8721,-0.7085,0.0000,1.0000
322,0.6932,0.6932,0.8828,-0.7748,0.0000,1.0000
323,0.7126,0.7126,0.8690,-0.6828,0.3376,1.0000
324,0.7307,0.7307,0.8772,-0.4362,0.8569,1.0000
325,0.7362,0.7362,0.8650,-0.6520,0.3103,1.0000
326,0.6514,0.6514,0.8656,-1.0500,0.2641,1.0000
327,0.7345,0.7345,0.8824,-0.3410,1.0893,1.0000
328,0.7622,0.7622,0.8616,-0.0305,0.1257,1.0000
329,0.7195,0.7195,0.8830,-0.4993,1.0943,1.0000
330,0.6892,0.6892,0.8805,-1.0192,0.3213,1.0000
331,0.7497,0.7497,0.8795,-0.2397,2.2949,1.0000
332,0.7053,0.7053,0.8839,-0.0241,0.6398,1.0000
333,0.7159,0.7159,0.8661,-0.4296,1.3594,1.0000
334,0.7518,0.7518,0.8691,-0.0265,0.6059,1.0000
335,0.7288,0.7288,0.8731,-0.8607,0.1880,1.0000
336,0.7580,0.7580,0.8698,-0.3805,0.5604,1.0000
337,0.7664,0.7664,0.8558,-0.5861,0.2344,1.0000
338,0.7323,0.7323,0.8628,-1.8464,0.1300,1.0000
339,0.6958,0.6958,0.8781,-1.7901,0.3773,1.0000
340,0.7127,0.7127,0.8781,-1.0116,0.0622,1.0000
341,0.7416,0.7416,0.8851,0.0372,0.5401,1.0000
342,0.6927,0.6927,0.8831,-0.4669,1.1941,1.0000
343,0.6739,0.6739,0.8882,-0.5186,0.0000,1.0000
344,0.6893,0.6893,0.8860,-1.3317,0.8637,1.0000
345,0.7099,0.7099,0.8851,-0.6949,0.4834,1.0000
